Layer[0],Layer[1],TEE[2-8],Layer[9],Layer[10],classifier
0.513588,0.017793,8.124064,0.002784,0.000640,8.667733
0.421968,0.017888,0.765726,0.002433,0.000416,1.217104
0.416240,0.017792,0.788991,0.001344,0.000416,1.230256
0.420912,0.017696,0.752414,0.001760,0.000384,1.200271
0.416881,0.017568,0.748862,0.001408,0.000384,1.192239
0.434065,0.017377,0.754301,0.001472,0.000352,1.214543
0.420784,0.017505,0.748190,0.001408,0.000384,1.194607
0.421201,0.017665,0.754365,0.001568,0.000448,1.202832
0.420753,0.017441,0.774142,0.001376,0.000384,1.222000
0.420561,0.017569,0.757981,0.001344,0.000384,1.204208
0.419952,0.017505,0.765662,0.001376,0.000416,1.212527
0.420240,0.017377,0.745853,0.001408,0.000384,1.192206
0.420528,0.017697,0.748030,0.001344,0.000384,1.194383
0.420816,0.017569,0.763550,0.001376,0.000384,1.210191
0.421617,0.017473,0.734781,0.001280,0.000384,1.181935
0.420112,0.017377,0.749534,0.001376,0.000384,1.195663
0.441490,0.017537,0.752541,0.001472,0.000384,1.220720
0.421552,0.017600,0.754654,0.001280,0.000416,1.203279
0.420561,0.017472,0.771775,0.001376,0.000384,1.218928
0.422608,0.017632,0.748478,0.001344,0.000384,1.197583
0.420977,0.017473,0.740253,0.001440,0.000384,1.188591
0.415793,0.017472,0.780767,0.001344,0.000384,1.221328
0.420689,0.017632,0.749726,0.001344,0.000416,1.195695
0.421009,0.017312,0.747358,0.001344,0.000352,1.193391
0.420721,0.017184,0.761182,0.001248,0.000352,1.206671
0.420689,0.017281,0.733245,0.001280,0.000384,1.179183
0.420592,0.017441,0.743293,0.001280,0.000416,1.189102
0.436177,0.018017,0.741277,0.001344,0.000384,1.205359
0.418736,0.017665,0.750430,0.001408,0.000384,1.194127
0.422481,0.017633,0.765694,0.001312,0.000416,1.213168
0.417776,0.017344,0.749054,0.001376,0.000352,1.192751
0.421456,0.017313,0.739069,0.001248,0.000384,1.185678
0.421360,0.017473,0.768286,0.001344,0.000384,1.214927
0.420401,0.017473,0.732572,0.001248,0.000352,1.178223
0.420817,0.017505,0.743005,0.001376,0.000384,1.188719
0.422128,0.017537,0.763806,0.001248,0.000384,1.210959
0.421521,0.017377,0.741213,0.001280,0.000352,1.188079
0.419952,0.017376,0.750046,0.001408,0.000384,1.196911
0.441298,0.017408,0.766271,0.001280,0.000352,1.232625
0.416560,0.017345,0.763134,0.001216,0.000384,1.204911
0.421553,0.017313,0.746397,0.001344,0.000352,1.193519
0.420528,0.017441,0.746717,0.001280,0.000416,1.191982
0.418576,0.017441,0.750014,0.001344,0.000352,1.194127
0.417265,0.017281,0.750429,0.001504,0.000448,1.193039
0.420496,0.017473,0.738013,0.001248,0.000352,1.183310
0.422000,0.017313,0.759006,0.001312,0.000352,1.206063
0.417265,0.017536,0.762238,0.001344,0.000384,1.204048
0.421969,0.017536,0.743550,0.001376,0.000416,1.190767
0.417456,0.017313,0.743517,0.001184,0.000384,1.185230
0.415601,0.017473,0.750429,0.001312,0.000352,1.191151
0.420400,0.017313,0.747549,0.001281,0.000352,1.193743
0.422225,0.017504,0.741950,0.001312,0.000448,1.189135
0.437105,0.017568,0.739293,0.001280,0.000416,1.201135
0.420945,0.017472,0.741278,0.001312,0.000384,1.187311
0.418417,0.017121,0.741213,0.001248,0.000320,1.183855
0.417009,0.017344,0.737533,0.001248,0.000416,1.178958
0.423665,0.017569,0.743261,0.001280,0.000384,1.192879
0.417968,0.017441,0.761886,0.001344,0.000384,1.205231
0.420848,0.017537,0.763582,0.001280,0.000352,1.208911
0.421936,0.017633,0.734589,0.001312,0.000384,1.180526
0.421361,0.017408,0.770143,0.001344,0.000416,1.217040
0.421969,0.017505,0.748861,0.001344,0.000352,1.195599
0.422609,0.017344,0.736605,0.001217,0.000384,1.183567
0.421873,0.017472,0.756382,0.001312,0.000384,1.204079
0.422960,0.017505,0.748382,0.001216,0.000384,1.195951
0.422353,0.017313,0.763070,0.001376,0.000384,1.210128
0.438737,0.017537,0.739997,0.001312,0.000384,1.204879
0.423057,0.017248,0.739998,0.001248,0.000384,1.187887
0.422544,0.017217,0.748894,0.001248,0.000576,1.197647
0.417392,0.017345,0.749822,0.001248,0.000352,1.193263
0.425009,0.017537,0.752190,0.001376,0.000352,1.201968
0.419121,0.017472,0.753118,0.001152,0.000352,1.196047
0.420112,0.017280,0.743293,0.001376,0.000416,1.189679
0.415472,0.017537,0.740797,0.001184,0.000352,1.182222
0.423056,0.017280,0.758974,0.001248,0.000384,1.207215
0.418545,0.017888,0.732221,0.001280,0.000320,1.176110
0.419121,0.017313,0.749917,0.001376,0.000384,1.195087
0.435281,0.017536,0.742077,0.001152,0.000352,1.202320
0.420081,0.017313,0.747645,0.001248,0.000352,1.193295
0.417392,0.017568,0.733021,0.001280,0.000352,1.176878
0.422449,0.017280,0.751998,0.001408,0.000384,1.200143
0.418929,0.017536,0.750718,0.001344,0.000352,1.195279
0.421616,0.017568,0.765374,0.001441,0.000352,1.212560
0.423537,0.017473,0.728476,0.001312,0.000384,1.176878
0.418544,0.017313,0.732765,0.001312,0.000384,1.176462
0.423185,0.017377,0.763806,0.001312,0.000352,1.212272
0.420048,0.017569,0.748381,0.001440,0.000416,1.194575
0.417425,0.017505,0.740509,0.001376,0.000384,1.183759
0.421776,0.017473,0.756766,0.001344,0.000352,1.203823
0.417905,0.017472,0.742750,0.001152,0.000384,1.186031
0.417169,0.017377,0.732828,0.001248,0.000384,1.175439
0.434609,0.017569,0.744829,0.001120,0.000352,1.203983
0.418513,0.017377,0.749277,0.001216,0.000384,1.193167
0.418448,0.017313,0.738685,0.001216,0.000384,1.182158
0.422128,0.017345,0.761694,0.001408,0.000384,1.208847
0.422577,0.017345,0.742109,0.001312,0.000384,1.189263
0.422257,0.017441,0.769214,0.001472,0.000384,1.218704
0.424432,0.017345,0.747614,0.001472,0.000384,1.198735
0.422865,0.017377,0.746365,0.001472,0.000384,1.195279
0.417777,0.017408,0.757469,0.001408,0.000384,1.201680
0.422672,0.017504,0.748382,0.001344,0.000384,1.196591
0.418417,0.017473,0.745757,0.001344,0.000416,1.190191
0.423313,0.017377,0.754493,0.001216,0.000352,1.203279
0.423217,0.017248,0.738685,0.001377,0.000352,1.187247
0.422737,0.017536,0.735581,0.001376,0.000384,1.184047
0.439793,0.017409,0.738813,0.001440,0.000352,1.204879
0.416016,0.017280,0.742269,0.001377,0.000416,1.184751
0.422641,0.017313,0.742333,0.001344,0.000384,1.191215
0.421328,0.017440,0.756542,0.001408,0.000320,1.205103
0.421233,0.017729,0.747645,0.001472,0.000352,1.195823
0.417360,0.017313,0.766462,0.001376,0.000352,1.209903
0.422065,0.017408,0.755486,0.001376,0.000384,1.203759
0.422065,0.017505,0.753085,0.001344,0.000352,1.200943
0.421264,0.017313,0.767422,0.001440,0.000448,1.214831
0.420592,0.017537,0.737789,0.001248,0.000384,1.183758
0.422609,0.017281,0.736861,0.001440,0.000416,1.185423
0.436689,0.017376,0.755166,0.001344,0.000352,1.219088
0.420817,0.017537,0.751901,0.001344,0.000384,1.198671
0.418800,0.017441,0.743261,0.001312,0.000352,1.187790
0.439825,0.017313,0.749533,0.001408,0.000416,1.215824
0.421552,0.017504,0.751166,0.001312,0.000384,1.198351
0.416528,0.017281,0.765278,0.001408,0.000448,1.207279
0.415537,0.017376,0.750749,0.001408,0.000352,1.191119
0.420944,0.017409,0.729629,0.001248,0.000352,1.175406
0.420241,0.017600,0.748158,0.001248,0.000352,1.193615
0.423249,0.017345,0.744061,0.001536,0.000320,1.192847
0.422416,0.017377,0.753950,0.001280,0.000384,1.203087
0.422705,0.017472,0.772543,0.001344,0.000384,1.221296
0.417904,0.017472,0.730461,0.001408,0.000352,1.173742
0.417585,0.017504,0.740029,0.001504,0.000384,1.183759
0.439697,0.017345,0.740765,0.001472,0.000320,1.206255
0.417137,0.017376,0.747198,0.001280,0.000320,1.189935
0.415601,0.017441,0.748061,0.001344,0.000416,1.189583
0.435505,0.017409,0.735580,0.001376,0.000384,1.196079
0.423249,0.017505,0.744957,0.001216,0.000416,1.193423
0.422384,0.017280,0.767966,0.001377,0.000352,1.216368
0.422320,0.017633,0.753342,0.001376,0.000352,1.201743
0.421937,0.017441,0.735901,0.001344,0.000416,1.184143
0.416017,0.017440,0.784895,0.001376,0.000352,1.227217
0.415952,0.017377,0.741085,0.001376,0.000352,1.183502
0.415856,0.017665,0.764446,0.001344,0.000352,1.205903
0.420144,0.017601,0.766782,0.001408,0.000416,1.213391
0.420497,0.017377,0.740221,0.001344,0.000352,1.186255
0.423537,0.017377,0.749533,0.001345,0.000352,1.198704
0.439889,0.017537,0.740541,0.001344,0.000416,1.206703
0.420401,0.017600,0.739133,0.001600,0.000416,1.186703
0.420208,0.017377,0.740541,0.001408,0.000416,1.186990
0.420241,0.017568,0.745886,0.001408,0.000384,1.191919
0.418320,0.017441,0.746685,0.001473,0.000416,1.191503
0.423856,0.017473,0.772478,0.001312,0.000416,1.222384
0.422385,0.017345,0.747805,0.001408,0.000384,1.195055
0.416304,0.017441,0.755421,0.001408,0.000416,1.197935
0.421681,0.017537,0.773502,0.001408,0.000384,1.220656
0.421808,0.017504,0.750430,0.001280,0.000384,1.197807
0.416240,0.017537,0.753982,0.001376,0.000384,1.195823
0.437682,0.017344,0.739422,0.001536,0.000448,1.203760
0.420273,0.017472,0.746622,0.001536,0.000448,1.193199
0.417264,0.017377,0.740925,0.001440,0.000416,1.184046
0.421840,0.017601,0.750365,0.001408,0.000416,1.198575
0.422801,0.017281,0.748125,0.001408,0.000384,1.196495
0.420560,0.017377,0.772446,0.001408,0.000384,1.218864
0.416209,0.017505,0.749949,0.001472,0.000416,1.192335
0.420944,0.017344,0.740925,0.001473,0.000384,1.187503
0.418097,0.017633,0.757981,0.001440,0.000385,1.202416
0.422545,0.017408,0.747198,0.001376,0.000416,1.195407
0.419505,0.017473,0.750557,0.001408,0.000384,1.196560
0.438194,0.017440,0.753214,0.001280,0.000384,1.217552
0.416368,0.017633,0.745661,0.001312,0.000384,1.187822
0.420337,0.017473,0.745469,0.001344,0.000384,1.192751
0.418833,0.017472,0.743710,0.001344,0.000352,1.188719
0.415792,0.017473,0.736445,0.001536,0.000416,1.177710
0.419824,0.017377,0.751677,0.001248,0.000416,1.197423
0.422673,0.017217,0.737085,0.001216,0.000384,1.184239
0.422609,0.017601,0.727548,0.001216,0.000416,1.175342
0.422225,0.017345,0.754685,0.001120,0.000353,1.201264
0.415697,0.017600,0.750718,0.001440,0.000384,1.191855
0.421584,0.017345,0.734013,0.001248,0.000384,1.181070
0.422929,0.034337,0.741373,0.001248,0.000416,1.205808
0.421776,0.017313,0.744477,0.001377,0.000352,1.191759
0.422705,0.017312,0.733884,0.001152,0.000416,1.180719
0.437681,0.018017,0.747069,0.001088,0.000352,1.208848
0.423056,0.017313,0.743805,0.001248,0.000352,1.191246
0.423921,0.017313,0.741693,0.001216,0.000352,1.189423
0.423184,0.017441,0.738205,0.001280,0.000416,1.188302
0.416112,0.017473,0.738717,0.001472,0.000416,1.180142
0.416112,0.017313,0.768094,0.001440,0.000384,1.210608
0.421424,0.017249,0.736605,0.001312,0.000352,1.182958
0.422065,0.017249,0.731484,0.001313,0.000384,1.178863
0.416400,0.017505,0.763070,0.001472,0.000448,1.205615
0.416464,0.017313,0.742013,0.001376,0.000416,1.183343
0.418321,0.017345,0.739037,0.001344,0.000384,1.182127
0.423024,0.017313,0.747582,0.001216,0.000384,1.195503
0.421041,0.017505,0.742621,0.001280,0.000352,1.188271
0.422320,0.017313,0.734749,0.001312,0.000320,1.181582
0.441842,0.017472,0.729533,0.001472,0.000352,1.196623
0.419249,0.017312,0.746718,0.001344,0.000352,1.192271
0.422545,0.017345,0.748637,0.001312,0.000384,1.195951
0.418672,0.017473,0.735965,0.001408,0.000384,1.179246
0.422737,0.017472,0.749822,0.001376,0.000416,1.198127
0.418033,0.017536,0.750878,0.001472,0.000384,1.194287
0.416368,0.017313,0.739901,0.001184,0.000384,1.180366
0.418289,0.017312,0.742558,0.001344,0.000384,1.184975
0.420785,0.017376,0.747646,0.001280,0.000384,1.193487
0.417360,0.017408,0.746462,0.001344,0.000352,1.188271
0.423825,0.017377,0.738845,0.001312,0.000416,1.187439
0.418001,0.017281,0.765470,0.001440,0.000416,1.210576
0.423536,0.017345,0.750302,0.001376,0.000352,1.200239
0.421937,0.017409,0.745309,0.001280,0.000352,1.192495
0.437329,0.017345,0.760798,0.001472,0.000416,1.224464
0.420305,0.017505,0.748989,0.001248,0.000352,1.195439
0.422833,0.017409,0.733661,0.001280,0.000352,1.182191
0.422128,0.017536,0.749054,0.001568,0.000448,1.197103
0.417296,0.017345,0.730205,0.001408,0.000352,1.172494
0.422897,0.017505,0.764990,0.001344,0.000352,1.213392
0.421200,0.017377,0.744861,0.001440,0.000384,1.190862
0.423344,0.017345,0.751774,0.001184,0.000320,1.200111
0.420977,0.017281,0.764254,0.001408,0.000416,1.211248
0.422449,0.017345,0.753437,0.001376,0.000384,1.201840
0.422960,0.017345,0.744157,0.001376,0.000352,1.192622
0.433713,0.017760,0.738653,0.001216,0.000384,1.197359
0.422513,0.017312,0.734397,0.001248,0.000352,1.181550
0.423152,0.017377,0.743677,0.001408,0.000352,1.192303
0.439122,0.017280,0.743870,0.001280,0.000416,1.209200
0.417712,0.017536,0.751358,0.001376,0.000384,1.194703
0.416785,0.017505,0.753469,0.001536,0.000416,1.196975
0.422609,0.017377,0.733949,0.001408,0.000416,1.182383
0.423216,0.017344,0.748830,0.001344,0.000384,1.197391
0.423248,0.017344,0.773023,0.001440,0.000352,1.222736
0.421968,0.017249,0.754398,0.001376,0.000352,1.201584
0.422768,0.017473,0.764094,0.001440,0.000384,1.212367
0.423057,0.017281,0.748541,0.001344,0.000352,1.196783
0.416592,0.017473,0.740733,0.001376,0.000352,1.182094
0.420784,0.017313,0.733117,0.001376,0.000352,1.178702
0.435633,0.017569,0.749309,0.001280,0.000320,1.209583
0.422833,0.017505,0.749437,0.001441,0.000384,1.198448
0.421904,0.017281,0.734045,0.001408,0.000352,1.181102
0.417776,0.017248,0.742205,0.001440,0.000384,1.185135
0.420817,0.017505,0.747037,0.001408,0.000384,1.193935
0.417840,0.017505,0.751358,0.001376,0.000416,1.194703
0.422545,0.017697,0.743389,0.001376,0.000384,1.191535
0.421137,0.017505,0.728572,0.001344,0.000384,1.175023
0.421776,0.017505,0.770014,0.001537,0.000416,1.218416
0.422673,0.017249,0.736253,0.001408,0.000384,1.184559
0.422480,0.017249,0.753406,0.001280,0.000352,1.201647
0.422352,0.017441,0.765886,0.001376,0.000352,1.214831
0.421904,0.017537,0.780159,0.001248,0.000352,1.227440
0.421872,0.017505,0.738813,0.001312,0.000352,1.186318
0.451602,0.017569,0.751229,0.001408,0.000352,1.230032
0.422737,0.017313,0.735260,0.001344,0.000384,1.183439
0.421809,0.017409,0.740253,0.001344,0.000384,1.187631
0.422320,0.017537,0.734749,0.001344,0.000352,1.182766
0.422321,0.017280,0.737085,0.001505,0.000416,1.185039
0.422288,0.017345,0.759134,0.001440,0.000352,1.207439
0.422385,0.017409,0.744893,0.001504,0.000352,1.192975
0.418609,0.017408,0.752670,0.001632,0.000384,1.198159
0.423953,0.017473,0.762942,0.001504,0.000352,1.213520
0.423152,0.017377,0.752606,0.001344,0.000416,1.201807
0.418736,0.017505,0.748733,0.001696,0.000352,1.193902
0.435153,0.017409,0.772990,0.001344,0.000384,1.233776
0.418545,0.017216,0.741502,0.001376,0.000384,1.184271
0.417905,0.017185,0.751069,0.001312,0.000384,1.193007
0.437745,0.017313,0.773374,0.001440,0.000416,1.236624
0.421457,0.017504,0.725693,0.001248,0.000384,1.171598
0.418384,0.017473,0.744477,0.001280,0.000384,1.187502
0.418033,0.017440,0.741886,0.001472,0.000384,1.186447
0.422641,0.017632,0.734077,0.001248,0.000352,1.181550
0.423024,0.017537,0.771070,0.001344,0.000352,1.219888
0.421744,0.017408,0.749086,0.001472,0.000384,1.197423
0.420753,0.017153,0.736957,0.001280,0.000352,1.181999
0.422160,0.017216,0.761886,0.001216,0.000384,1.208719
0.415760,0.017441,0.760574,0.001248,0.000384,1.200591
0.422129,0.017633,0.733949,0.001248,0.000352,1.181071
0.436593,0.017505,0.739869,0.001248,0.000352,1.201359
0.422673,0.017313,0.740189,0.001280,0.000384,1.187631
0.419313,0.017601,0.758750,0.001344,0.000384,1.205360
0.431601,0.017505,0.761726,0.001120,0.000352,1.217808
0.416145,0.017472,0.735389,0.001440,0.000416,1.176718
0.419856,0.017281,0.767134,0.001504,0.000416,1.214447
0.423441,0.018049,0.738045,0.001376,0.000352,1.187983
0.418225,0.017473,0.745789,0.001376,0.000352,1.189455
0.422769,0.017537,0.764286,0.001696,0.000416,1.213584
0.420016,0.017441,0.742461,0.001376,0.000352,1.187918
0.421905,0.017313,0.749117,0.001344,0.000352,1.196431
0.423057,0.017472,0.768351,0.001408,0.000352,1.217488
0.418064,0.017473,0.736765,0.001344,0.000352,1.181070
0.423217,0.017345,0.750685,0.001376,0.000352,1.200271
0.453426,0.017601,0.741821,0.001376,0.000384,1.221200
0.421841,0.017345,0.751229,0.001344,0.000416,1.199215
0.421617,0.017281,0.728284,0.001184,0.000416,1.174735
0.415472,0.017313,0.744925,0.001248,0.000384,1.185134
0.417424,0.017409,0.743069,0.001088,0.000352,1.184462
0.417104,0.017537,0.761214,0.001216,0.000352,1.203215
0.417264,0.017377,0.760094,0.001312,0.000384,1.201999
0.421841,0.017313,0.748061,0.001344,0.000384,1.196751
0.422385,0.017377,0.769086,0.001440,0.000352,1.217296
0.422448,0.017313,0.742237,0.001376,0.000384,1.189742
0.422289,0.017441,0.748125,0.001248,0.000416,1.194991
0.438577,0.017441,0.739645,0.001536,0.000416,1.204111
0.416176,0.017345,0.748317,0.001408,0.000352,1.189807
0.422353,0.017345,0.748669,0.001344,0.000352,1.196431
0.433329,0.017313,0.738301,0.001344,0.000384,1.197167
0.422512,0.017345,0.732829,0.001376,0.000352,1.180526
0.421360,0.017569,0.746909,0.001344,0.000384,1.193743
0.417008,0.017473,0.749886,0.001344,0.000384,1.192943
0.422032,0.017313,0.747901,0.001440,0.000416,1.196271
0.422353,0.017312,0.770783,0.001504,0.000608,1.220336
0.415537,0.017345,0.751901,0.001408,0.000384,1.193551
0.421681,0.017281,0.748541,0.001376,0.000352,1.195599
0.421681,0.017345,0.769438,0.001280,0.000352,1.216336
0.415633,0.017376,0.742558,0.001536,0.000352,1.183119
0.422833,0.017473,0.735324,0.001472,0.000320,1.183343
0.439089,0.017409,0.730077,0.001248,0.000384,1.193775
0.421169,0.017504,0.733053,0.001280,0.000416,1.179502
0.416720,0.017473,0.751229,0.001312,0.000352,1.193870
0.436882,0.017440,0.726685,0.001216,0.000352,1.188943
0.421169,0.017313,0.742333,0.001312,0.000352,1.188335
0.422832,0.017344,0.776927,0.001376,0.000384,1.226896
0.422576,0.017601,0.741981,0.001408,0.000352,1.191087
0.422129,0.017281,0.739613,0.001536,0.000416,1.186767
0.417264,0.017313,0.758302,0.001408,0.000416,1.200239
0.421297,0.017505,0.733437,0.001344,0.000352,1.179855
0.418897,0.017248,0.726621,0.001376,0.000384,1.169806
0.422352,0.017409,0.756766,0.001248,0.000544,1.204047
0.420881,0.017537,0.749757,0.001408,0.000352,1.197103
0.417392,0.017601,0.760670,0.001280,0.000352,1.202895
0.439153,0.017441,0.745053,0.001248,0.000320,1.208431
0.417936,0.017185,0.741565,0.001280,0.000384,1.185134
0.419985,0.017281,0.747389,0.001312,0.000384,1.191599
0.417968,0.017313,0.734205,0.001216,0.000352,1.176078
0.422192,0.017249,0.728893,0.001216,0.000384,1.174958
0.422192,0.017377,0.759966,0.001248,0.000384,1.206095
0.420913,0.017409,0.736028,0.001152,0.000352,1.180719
