label,count,max,max5,min,mean(exclude_max)
INFER[0-0],500,8.54096,1.046111,0.9960620000000001,1.0085524545454545
INFER[0-10],500,9.090157000000001,1.619024,1.566255,1.5860012545454547
INFER[0-1],500,8.543839,1.0552629999999998,1.0150059999999999,1.0246144767676768
INFER[0-2],500,9.016973,1.528589,1.490284,1.5017903616161619
INFER[0-3],500,9.017325,1.549934,1.497228,1.5128395131313133
INFER[0-4],500,9.074862,1.588912,1.545326,1.562448238383838
INFER[0-5],500,9.070158000000001,1.5876629999999998,1.545134,1.5613946444444444
INFER[0-6],500,9.08635,1.599344,1.558574,1.5732004727272728
INFER[0-7],500,9.086702,1.624816,1.5568469999999999,1.5770447393939393
INFER[0-8],500,9.082798,1.613456,1.562158,1.5773768323232322
INFER[0-9],500,9.09627,1.619984,1.5654540000000001,1.585110195959596
INFER[1-10],500,8.027086,0.640467,0.603218,0.6154913717171717
INFER[1-1],500,0.086018,0.08137799999999999,0.046658,0.05417468686868687
INFER[1-2],500,7.945867,0.565008,0.524143,0.536441597979798
INFER[1-3],500,7.95246,0.5745779999999999,0.534768,0.5444222464646464
INFER[1-4],500,8.002061,0.629843,0.583345,0.5945377010101011
INFER[1-5],500,8.010957000000001,0.62373,0.583633,0.5939412444444444
INFER[1-6],500,8.022862,0.649108,0.596209,0.6111618545454546
INFER[1-7],500,8.016173,0.6382909999999999,0.59765,0.6079278727272728
INFER[1-8],500,8.022477,0.641139,0.59749,0.6115856565656567
INFER[1-9],500,8.039374,0.640211,0.602162,0.6127204101010101
INFER[10-10],500,0.05485,0.041377,0.028064,0.03381109696969697
INFER[2-10],500,7.9953080000000005,0.6156659999999999,0.580497,0.5916752000000001
INFER[2-2],500,7.922442,0.54632,0.509871,0.5191465232323232
INFER[2-3],500,7.931114,0.552561,0.5137430000000001,0.5243215919191918
INFER[2-4],500,7.987628999999999,0.610578,0.565009,0.5765406808080807
INFER[2-5],500,7.980875999999999,0.6037939999999999,0.562545,0.5737880303030304
INFER[2-6],500,7.993803999999999,0.621842,0.578705,0.591454915151515
INFER[2-7],1000,8.011280000000001,0.648564,0.578417,0.5958890763819096
INFER[2-8],500,7.9960130000000005,0.6221939999999999,0.579793,0.5918095111111111
INFER[2-9],500,8.004909,0.622963,0.5830890000000001,0.5953084747474747
INFER[3-10],500,0.164357,0.14266099999999998,0.10288299999999999,0.11163693737373737
INFER[3-3],500,0.06115399999999999,0.053569000000000006,0.032481,0.038654747474747474
INFER[3-4],500,0.13626,0.112259,0.082946,0.08985355555555556
INFER[3-5],500,0.143492,0.12598800000000002,0.082498,0.09191179797979798
INFER[3-6],500,0.140932,0.133924,0.097219,0.10569659595959598
INFER[3-7],500,0.144292,0.122083,0.09862699999999999,0.1058595393939394
INFER[3-8],500,0.155077,0.131235,0.099843,0.10876660404040403
INFER[3-9],500,0.162116,0.12358699999999999,0.100195,0.10548651313131313
INFER[4-10],500,0.135972,0.12499500000000001,0.096419,0.10607938787878789
INFER[4-4],500,0.11757100000000001,0.10157100000000001,0.077731,0.08413087272727274
INFER[4-5],500,0.11776400000000001,0.107524,0.077538,0.08479025050505051
INFER[4-6],500,0.142788,0.12182799999999999,0.092739,0.10016391313131313
INFER[4-7],500,0.13683599999999999,0.12806800000000002,0.09321900000000001,0.10243346464646465
INFER[4-8],500,0.122084,0.117924,0.095299,0.10264520606060605
INFER[4-9],500,0.141348,0.134468,0.09677100000000001,0.10690074343434343
INFER[5-10],500,0.074562,0.07341,0.048385000000000004,0.056802177777777775
INFER[5-5],500,0.057665,0.044449,0.028513,0.03569838181818182
INFER[5-6],500,0.086563,0.07101,0.043873,0.04983783838383839
INFER[5-7],500,0.078178,0.06685,0.044258,0.052193917171717175
INFER[5-8],500,0.08931499999999999,0.070626,0.045697,0.05415426464646465
INFER[5-9],500,0.082562,0.072514,0.048353,0.0553790808080808
INFER[6-10],500,0.080323,0.070626,0.046849,0.05447322828282828
INFER[6-6],500,0.073378,0.06605,0.044193,0.051510995959595955
INFER[6-7],500,0.08115499999999999,0.07334600000000001,0.044193,0.050907907070707074
INFER[6-8],500,0.08806699999999999,0.071074,0.04445,0.05167956767676768
INFER[6-9],500,0.107555,0.08681799999999999,0.048737,0.05777745656565657
INFER[7-10],500,0.06493,0.056066,0.034049,0.04010416565656566
INFER[7-7],500,0.06537799999999999,0.045600999999999996,0.028127999999999997,0.03367959797979798
INFER[7-8],500,0.060194000000000004,0.053474,0.031585,0.03778477171717172
INFER[7-9],500,0.06877,0.05545800000000001,0.032705,0.03916044646464646
INFER[8-10],500,0.06269,0.053665,0.034113,0.039814446464646464
INFER[8-8],500,0.067202,0.050658,0.030049,0.0365460505050505
INFER[8-9],500,0.082754,0.05379400000000001,0.032193,0.03988188686868687
INFER[9-10],500,0.055362,0.050498,0.030369,0.03737961414141415
INFER[9-9],500,0.063778,0.052258000000000006,0.030752999999999996,0.03724843636363636
IN[0],5500,0.276456,0.257831,0.083875,0.1488192982711556
IN[10],500,0.161701,0.129412,0.092163,0.10657485656565656
IN[1],5000,0.5013270000000001,0.239656,0.107299,0.16515846326326325
IN[2],5000,0.8575290000000001,0.25943099999999997,0.085186,0.14132634834834834
IN[3],4000,0.474991,0.191461,0.094466,0.13492599198998748
IN[4],3500,0.186725,0.167973,0.082946,0.11488169184549357
IN[5],3000,0.197158,0.173285,0.079778,0.11108288614357262
IN[6],2500,0.17382899999999998,0.161924,0.074274,0.11015594028056112
IN[7],2000,0.177669,0.140516,0.076258,0.1081576932330827
IN[8],1500,0.204486,0.15258,0.078562,0.10886896588628761
IN[9],1000,0.144324,0.1345,0.082787,0.10611432663316582
Layer[0],28000,1.9322810000000001,0.671988,0.393516,0.3987827276656546
Layer[10],28000,0.027745,0.001376,0.00022400000000000002,0.0004810862654045365
Layer[1],23500,0.055682,0.050497,0.017088,0.01779408410300064
Layer[2],19500,0.314825,0.254407,0.190822,0.19307371915875865
Layer[3],17000,0.041025,0.029952999999999997,0.004737,0.005292817946454841
Layer[4],15500,0.105603,0.088258,0.046817000000000004,0.04844306634398193
Layer[5],15000,0.020191999999999998,0.015777,0.00044800000000000005,0.0007736209403134378
Layer[6],15500,0.058689,0.039041,0.013312000000000001,0.014250745401742497
Layer[7],17000,0.018401,0.001472,0.000288,0.0005284117093262725
Layer[8],20000,0.022016,0.018849,0.001312,0.0020946106026506627
Layer[9],23500,0.022625,0.018112,0.00064,0.0012869371781230048
OUT[0],500,0.151749,0.145796,0.078659,0.09092566666666665
OUT[10],5500,0.127844,0.125412,3.2e-05,0.06079059126478617
OUT[1],1000,0.136068,0.119075,0.059682000000000006,0.07020212261306533
OUT[2],1500,0.146341,0.12602,0.064834,0.07296947759197325
OUT[3],2000,0.131748,0.12534800000000001,0.056162000000000004,0.06990682506265664
OUT[4],2500,0.142372,0.126531,0.058849,0.06859908416833668
OUT[5],3000,0.13178,0.126148,0.055777999999999994,0.06720794557595994
OUT[6],3500,0.131684,0.1257,0.057025,0.06766777167381975
OUT[7],4500,0.133956,0.12029100000000001,0.054145000000000006,0.06732439021134594
OUT[8],4500,0.131395,0.116932,0.054113,0.06524433570634038
OUT[9],5000,0.124516,0.122884,0.053698,0.06546886466466466
TEE[0-0],500,8.843496,1.416554,1.2089,1.270789997979798
TEE[0-10],500,9.282132,1.907289,1.7658770000000001,1.819117682828283
TEE[0-1],500,8.762725999999999,1.330632,1.206948,1.2541093212121213
TEE[0-2],500,9.202835,1.789525,1.6857779999999998,1.7293202909090908
TEE[0-3],500,9.204819,1.8392549999999999,1.6983549999999998,1.7415939959595959
TEE[0-4],500,9.236179,1.88172,1.7341959999999998,1.7936285757575756
TEE[0-5],500,9.258515,1.85372,1.735443,1.7935707979797977
TEE[0-6],500,9.306197000000001,1.87516,1.7518919999999998,1.7996383878787878
TEE[0-7],500,9.297396,1.884728,1.743636,1.80058082020202
TEE[0-8],500,9.246834,1.8707759999999998,1.74642,1.804234480808081
TEE[0-9],500,9.265203,1.8787759999999998,1.75922,1.8131689818181818
TEE[1-10],500,8.277109,0.9198350000000001,0.8095600000000001,0.8583142282828283
TEE[1-1],500,0.381195,0.353675,0.24948,0.28990478585858587
TEE[1-2],500,8.151154,0.8638020000000001,0.730326,0.7780488444444444
TEE[1-3],500,8.15877,0.8613379999999999,0.736694,0.7867710363636363
TEE[1-4],500,8.195795,0.9001870000000001,0.7783909999999999,0.8327049191919192
TEE[1-5],500,8.217779,0.883642,0.791031,0.8291147595959595
TEE[1-6],500,8.269877000000001,0.9222360000000001,0.8036399999999999,0.8532918525252525
TEE[1-7],500,8.211955,0.9271959999999999,0.796439,0.8468522242424242
TEE[1-8],500,8.231635,0.944124,0.768918,0.842293098989899
TEE[1-9],500,8.302261,0.929787,0.8006949999999999,0.8456434323232324
TEE[10-10],500,0.199206,0.172869,0.1241,0.14314444242424243
TEE[2-10],500,8.177425,0.857658,0.7467739999999999,0.7962984606060606
TEE[2-2],500,8.115568,0.7960229999999999,0.690421,0.7309701919191919
TEE[2-3],500,8.112848,0.870554,0.6820039999999999,0.7352286808080808
TEE[2-4],500,8.184594,0.862137,0.752119,0.786270204040404
TEE[2-5],500,8.179153999999999,0.8576889999999999,0.743062,0.7851712181818182
TEE[2-6],500,8.166641,0.86777,0.766167,0.7998186282828282
TEE[2-7],1000,8.230902,0.9736290000000001,0.752119,0.8388021899497488
TEE[2-8],500,8.177106,0.8701049999999999,0.750262,0.7987811515151516
TEE[2-9],500,8.197362,0.872057,0.757206,0.8049170060606061
TEE[3-10],500,0.481454,0.376363,0.276008,0.31442081212121215
TEE[3-3],500,0.309609,0.279368,0.21299899999999997,0.23977080404040405
TEE[3-4],500,0.659316,0.358731,0.245127,0.29542814747474744
TEE[3-5],500,0.386156,0.356138,0.25050300000000003,0.29367679191919194
TEE[3-6],500,0.39805999999999997,0.36625100000000005,0.281449,0.3078196767676768
TEE[3-7],500,0.4203,0.367051,0.274376,0.31022125858585864
TEE[3-8],500,0.414796,0.370923,0.267592,0.3113141919191919
TEE[3-9],500,0.387787,0.357035,0.263048,0.3055276828282828
TEE[4-10],500,0.355754,0.338922,0.254152,0.288020096969697
TEE[4-4],500,0.35057,0.320809,0.238279,0.26993307474747474
TEE[4-5],500,0.34394600000000003,0.317162,0.230567,0.2667753313131313
TEE[4-6],500,0.37201100000000004,0.341706,0.257703,0.28604688888888896
TEE[4-7],500,0.380139,0.349898,0.256456,0.2887553373737373
TEE[4-8],500,0.33953,0.326282,0.253287,0.286164997979798
TEE[4-9],500,0.401643,0.341674,0.260712,0.28903227070707066
TEE[5-10],500,0.296969,0.276968,0.198278,0.23296815959595962
TEE[5-5],500,0.310346,0.269096,0.184422,0.21766215353535354
TEE[5-6],500,0.31248899999999996,0.292489,0.20483800000000002,0.22915286262626264
TEE[5-7],500,0.295721,0.282504,0.195046,0.22842712525252526
TEE[5-8],500,0.31399299999999997,0.285161,0.19655,0.2282084525252525
TEE[5-9],500,0.298121,0.28042399999999995,0.20541399999999999,0.23415122424242427
TEE[6-10],500,0.308969,0.279848,0.201606,0.22880473737373735
TEE[6-6],500,0.300969,0.265256,0.19789400000000001,0.22885516767676767
TEE[6-7],500,0.300201,0.27971999999999997,0.20186199999999999,0.2289625616161616
TEE[6-8],500,0.33933800000000003,0.284873,0.196197,0.2277180929292929
TEE[6-9],500,0.33649,0.290761,0.20717399999999997,0.23715955757575757
TEE[7-10],500,0.286729,0.263272,0.18311,0.21498734545454545
TEE[7-7],500,0.27744800000000003,0.23590999999999998,0.176709,0.2053250181818182
TEE[7-8],500,0.26916,0.25261500000000003,0.173925,0.2092756404040404
TEE[7-9],500,0.298216,0.252264,0.178213,0.21195072727272726
TEE[8-10],500,0.34925900000000004,0.26132,0.179653,0.21535820404040404
TEE[8-8],500,0.292136,0.257608,0.178086,0.21060776565656567
TEE[8-9],500,0.367147,0.28333600000000003,0.179429,0.21094459797979798
TEE[9-10],500,0.256135,0.243367,0.17751,0.2065928303030303
TEE[9-9],500,0.258344,0.24679099999999998,0.185926,0.21048520202020202
classifier,33500,9.320117,9.283189,0.804856,1.1503028927004033
