Layer[0],Layer[1],Layer[2],IN[3],INFER[3-4],OUT[4],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.504207,0.018112,0.195142,0.127620,0.109795,0.067010,0.310281,0.001344,0.015329,0.000384,0.001632,0.012256,0.000608,1.067359
0.397260,0.017824,0.194246,0.149157,0.087874,0.063490,0.303945,0.000768,0.015169,0.000384,0.001664,0.001312,0.000416,0.941084
0.401292,0.017377,0.194246,0.143524,0.089986,0.063745,0.300520,0.000768,0.015521,0.000384,0.001664,0.001312,0.000416,0.940476
0.397004,0.017408,0.193062,0.132452,0.089603,0.063970,0.289449,0.000768,0.016128,0.000352,0.001600,0.001184,0.000352,0.925083
0.398060,0.017472,0.192390,0.149732,0.090243,0.064674,0.308073,0.000864,0.015681,0.000384,0.001600,0.001152,0.000352,0.944188
0.397740,0.017664,0.193126,0.134244,0.085858,0.065089,0.288520,0.000769,0.015616,0.000416,0.001664,0.000992,0.000384,0.924987
0.396524,0.017536,0.191878,0.146052,0.087683,0.064802,0.301577,0.001024,0.015776,0.000416,0.001632,0.001024,0.000416,0.935772
0.414733,0.017728,0.192102,0.144164,0.096707,0.070562,0.314761,0.000768,0.014913,0.000384,0.001600,0.001184,0.000352,0.966397
0.396716,0.017376,0.192710,0.140164,0.088387,0.065730,0.297481,0.000704,0.015072,0.000448,0.001664,0.001088,0.000416,0.930971
0.396460,0.017376,0.191654,0.140868,0.088675,0.062082,0.294633,0.000704,0.014496,0.000384,0.001568,0.001056,0.000352,0.925979
0.395979,0.017569,0.216966,0.136772,0.095171,0.065794,0.301001,0.001056,0.014209,0.000416,0.001472,0.001216,0.000384,0.958396
0.397548,0.017600,0.192134,0.138692,0.087011,0.062882,0.292009,0.001056,0.014496,0.000384,0.001632,0.001024,0.000416,0.925883
0.396587,0.017601,0.192198,0.132260,0.088546,0.063202,0.287080,0.000640,0.014881,0.000416,0.001568,0.001120,0.000416,0.920187
0.397100,0.017376,0.191622,0.143748,0.088483,0.063650,0.298985,0.000736,0.014720,0.000352,0.001600,0.001408,0.000384,0.931644
0.396748,0.017600,0.192422,0.134564,0.091331,0.067266,0.297033,0.000736,0.014464,0.000384,0.001568,0.001184,0.000416,0.930171
0.396748,0.017665,0.191685,0.145605,0.088450,0.067362,0.305769,0.000833,0.014976,0.000640,0.001568,0.001216,0.000352,0.940156
0.396460,0.017665,0.192069,0.147173,0.086978,0.063490,0.300905,0.000768,0.015137,0.000384,0.001504,0.001568,0.000384,0.934460
0.415628,0.017601,0.192166,0.143748,0.094915,0.068706,0.310729,0.001024,0.014816,0.000384,0.001568,0.001120,0.000384,0.962940
0.396940,0.017600,0.191973,0.135908,0.087523,0.063810,0.290505,0.000704,0.014848,0.000384,0.001568,0.001344,0.000384,0.923643
0.396556,0.017313,0.192005,0.140388,0.086083,0.062114,0.291721,0.000768,0.014336,0.000416,0.001472,0.001184,0.000384,0.923803
0.396972,0.017601,0.191813,0.474991,0.112259,0.068642,0.659316,0.000736,0.014336,0.000416,0.001537,0.001024,0.000384,1.291879
0.395563,0.017409,0.191525,0.139845,0.087874,0.064834,0.295913,0.000736,0.014753,0.000416,0.001504,0.001280,0.000416,0.926908
0.396364,0.017505,0.191877,0.141285,0.087938,0.064290,0.296777,0.000832,0.014433,0.000384,0.001536,0.001312,0.000352,0.928572
0.395692,0.017376,0.191526,0.142180,0.114596,0.094594,0.354954,0.000736,0.014913,0.000416,0.001504,0.001120,0.000384,0.986621
0.396172,0.017408,0.191910,0.140484,0.086915,0.063618,0.293961,0.000800,0.014400,0.000416,0.001536,0.000992,0.000384,0.926075
0.396108,0.017313,0.192005,0.148197,0.088386,0.065058,0.304777,0.000736,0.015041,0.000448,0.001568,0.001216,0.000448,0.936860
0.396716,0.017569,0.191525,0.144292,0.087715,0.063586,0.298729,0.000736,0.014785,0.000416,0.001568,0.000960,0.000352,0.931484
0.395852,0.017601,0.191717,0.143717,0.088706,0.066562,0.302505,0.000736,0.014753,0.000416,0.001632,0.001472,0.000416,0.934716
0.396235,0.017441,0.191717,0.145828,0.097635,0.069346,0.316266,0.001056,0.015008,0.000576,0.001664,0.001024,0.000385,0.948797
0.395756,0.017473,0.192133,0.141605,0.089186,0.065698,0.299657,0.000768,0.014753,0.000384,0.001536,0.001056,0.000416,0.931452
0.415884,0.017761,0.192006,0.147684,0.099939,0.065922,0.316713,0.000832,0.014720,0.000320,0.001568,0.000960,0.000352,0.969277
0.396780,0.017441,0.191973,0.140101,0.090050,0.063714,0.296937,0.000768,0.014593,0.000384,0.001600,0.001088,0.000320,0.929404
0.396332,0.017344,0.191750,0.145988,0.088963,0.064514,0.302697,0.000704,0.014656,0.000416,0.001537,0.001056,0.000384,0.933980
0.395436,0.017473,0.192197,0.164357,0.118084,0.062754,0.348491,0.000704,0.014240,0.000416,0.001568,0.001056,0.000352,0.978845
0.395532,0.017568,0.192038,0.140580,0.090755,0.065602,0.300361,0.000768,0.014656,0.000384,0.001569,0.001152,0.000352,0.931580
0.396587,0.017537,0.192326,0.128739,0.087714,0.064610,0.284680,0.000768,0.014561,0.000416,0.001568,0.000992,0.000352,0.917627
0.396363,0.017344,0.191878,0.123971,0.087075,0.063682,0.277896,0.000672,0.015200,0.000352,0.001633,0.001088,0.000320,0.911003
0.396332,0.017536,0.191526,0.134212,0.087043,0.063201,0.287689,0.000768,0.014272,0.000384,0.001504,0.001184,0.000384,0.918811
0.396108,0.017408,0.191942,0.140132,0.085507,0.061730,0.290281,0.000768,0.014560,0.000416,0.001504,0.000992,0.000352,0.921467
0.396972,0.017536,0.192454,0.153189,0.090658,0.069794,0.317193,0.000864,0.015008,0.000416,0.001728,0.001248,0.000640,0.950940
0.429133,0.017856,0.194598,0.158277,0.104707,0.073570,0.340266,0.001024,0.015489,0.000416,0.001568,0.001600,0.000576,1.012062
0.396012,0.017409,0.192421,0.146917,0.090178,0.068834,0.309385,0.000896,0.015456,0.000384,0.001568,0.001408,0.000352,0.942844
0.396268,0.017536,0.191974,0.146789,0.086626,0.074754,0.311529,0.000704,0.014689,0.000384,0.001568,0.001344,0.000608,0.943804
0.395212,0.017440,0.210662,0.140741,0.096066,0.066881,0.307050,0.001024,0.014752,0.000352,0.001472,0.001024,0.000608,0.957276
0.395659,0.017345,0.192358,0.146084,0.088387,0.063746,0.301225,0.000736,0.014848,0.000384,0.001568,0.001120,0.000384,0.932635
0.397228,0.017505,0.192933,0.132644,0.086627,0.065250,0.288489,0.000736,0.014912,0.000416,0.001600,0.001025,0.000608,0.923388
0.396044,0.017505,0.191973,0.142661,0.087394,0.063458,0.296905,0.000704,0.014273,0.000576,0.001472,0.000992,0.000576,0.928540
0.395660,0.017537,0.192389,0.166661,0.087811,0.064386,0.321994,0.000736,0.014368,0.000416,0.001504,0.001056,0.000384,0.952988
0.395756,0.017313,0.191717,0.141925,0.085954,0.062370,0.293225,0.000704,0.014144,0.000384,0.001600,0.001120,0.000640,0.923836
0.395403,0.017537,0.191974,0.140036,0.086658,0.063330,0.292936,0.000704,0.014241,0.000384,0.001536,0.001024,0.000352,0.922619
0.412396,0.017633,0.191781,0.141413,0.095811,0.065249,0.305770,0.000704,0.014080,0.000416,0.001536,0.000960,0.000416,0.953148
0.396492,0.017568,0.191878,0.140996,0.086243,0.063746,0.294025,0.000672,0.015264,0.000416,0.001536,0.001024,0.000352,0.926907
0.395244,0.017408,0.191750,0.137572,0.086467,0.063234,0.290441,0.000672,0.014400,0.000384,0.001536,0.001024,0.000384,0.920507
0.395884,0.017345,0.191749,0.149285,0.093283,0.064609,0.310410,0.000992,0.014944,0.000384,0.001504,0.001088,0.000384,0.941852
0.395627,0.017377,0.191526,0.129507,0.085507,0.062562,0.280808,0.000704,0.014304,0.000352,0.001600,0.001024,0.000352,0.910875
0.401675,0.017633,0.194022,0.130372,0.089634,0.066946,0.290408,0.000736,0.014369,0.000384,0.001632,0.001120,0.000384,0.930395
0.396140,0.017505,0.192261,0.125988,0.087651,0.064834,0.281641,0.000736,0.015488,0.000416,0.001568,0.000992,0.000352,0.914363
0.395084,0.017505,0.191621,0.144549,0.087842,0.063970,0.299497,0.000736,0.014337,0.000416,0.001536,0.001024,0.000416,0.929148
0.395435,0.017569,0.192294,0.144196,0.087010,0.066178,0.300456,0.000704,0.014273,0.000384,0.001536,0.000992,0.000416,0.931195
0.394956,0.017632,0.192166,0.142852,0.086435,0.064386,0.296777,0.000704,0.014592,0.000416,0.001600,0.000928,0.000576,0.927419
0.418476,0.017600,0.192774,0.146436,0.095651,0.066018,0.311465,0.000992,0.014624,0.000384,0.001601,0.001120,0.000384,0.967805
0.395179,0.017377,0.192006,0.142468,0.085250,0.062882,0.294024,0.000704,0.014305,0.000384,0.001568,0.000960,0.000384,0.924315
0.395147,0.017313,0.192486,0.142212,0.087171,0.063649,0.296072,0.000704,0.015328,0.000384,0.001536,0.000992,0.000384,0.928027
0.395340,0.017504,0.191589,0.132868,0.102435,0.075714,0.314601,0.000705,0.015072,0.000448,0.001568,0.000992,0.000416,0.945340
0.395275,0.017473,0.192134,0.137860,0.096131,0.067810,0.304969,0.000800,0.014272,0.000384,0.001600,0.001024,0.000640,0.935835
0.395980,0.017472,0.196070,0.148677,0.087970,0.064674,0.305033,0.000800,0.014625,0.000352,0.001664,0.001184,0.000608,0.941660
0.395116,0.017696,0.192614,0.143172,0.088899,0.066050,0.301161,0.000800,0.014465,0.000384,0.001536,0.000992,0.000352,0.932348
0.395052,0.017569,0.192549,0.169893,0.089379,0.063266,0.325898,0.000704,0.014369,0.000448,0.001632,0.001024,0.000384,0.956861
0.394604,0.017409,0.192325,0.145061,0.087714,0.065698,0.301289,0.000672,0.014241,0.000384,0.001568,0.001024,0.000384,0.930972
0.396203,0.018016,0.192614,0.164645,0.092611,0.071810,0.332746,0.000896,0.015552,0.000576,0.001536,0.001696,0.000704,0.970172
0.413453,0.018304,0.192454,0.195846,0.100771,0.073378,0.373867,0.001120,0.015937,0.000608,0.001760,0.002240,0.000544,1.031807
0.395723,0.017824,0.192614,0.132132,0.090210,0.070467,0.296553,0.000864,0.015264,0.000352,0.001792,0.001184,0.000320,0.929755
0.394988,0.017824,0.192838,0.133988,0.088322,0.062689,0.288264,0.000768,0.015137,0.000384,0.001632,0.000896,0.000320,0.919739
0.395691,0.017697,0.208358,0.143492,0.093795,0.063778,0.304681,0.000736,0.014625,0.000352,0.001792,0.000992,0.000320,0.953020
0.395371,0.017633,0.192517,0.130723,0.087043,0.062786,0.284264,0.000704,0.014368,0.000352,0.001568,0.001056,0.000320,0.915356
0.399756,0.017665,0.192389,0.126660,0.096227,0.062722,0.289417,0.000672,0.014880,0.000384,0.001568,0.001152,0.000352,0.926812
0.395852,0.017632,0.192134,0.132644,0.088962,0.064322,0.289576,0.000704,0.014657,0.000384,0.001536,0.001024,0.000608,0.921307
0.394796,0.017504,0.192102,0.131236,0.086211,0.061953,0.283208,0.000705,0.014368,0.000352,0.001472,0.000928,0.000384,0.912763
0.398795,0.017601,0.191846,0.136868,0.085922,0.061474,0.287720,0.000672,0.014337,0.000384,0.001536,0.000896,0.000640,0.921147
0.394316,0.017313,0.192133,0.140580,0.088003,0.062754,0.294857,0.000672,0.014656,0.000352,0.001505,0.000960,0.000416,0.923996
0.417005,0.017472,0.191942,0.143620,0.097091,0.064898,0.308809,0.000960,0.014433,0.000384,0.001568,0.000992,0.000384,0.961405
0.399468,0.017281,0.191653,0.129156,0.086147,0.066914,0.285289,0.000672,0.014304,0.000416,0.001440,0.000896,0.000576,0.918971
0.394956,0.017344,0.191494,0.140068,0.084643,0.061217,0.289033,0.000704,0.014688,0.000384,0.001440,0.001024,0.000608,0.918683
0.394795,0.017344,0.192198,0.135332,0.107491,0.070850,0.317257,0.000736,0.014465,0.000448,0.001440,0.001024,0.000672,0.948476
0.395468,0.017600,0.192838,0.136452,0.091171,0.066114,0.296969,0.000800,0.014848,0.000384,0.001632,0.001152,0.000608,0.929660
0.394700,0.017665,0.192325,0.135236,0.087459,0.066690,0.293001,0.000704,0.014752,0.000448,0.001600,0.000992,0.000384,0.924124
0.395756,0.017536,0.192453,0.140420,0.085155,0.063618,0.292425,0.000704,0.014720,0.000384,0.001536,0.000992,0.000672,0.923868
0.409324,0.017601,0.192165,0.131972,0.096643,0.063618,0.295177,0.000704,0.014464,0.000385,0.001472,0.000928,0.000640,0.939836
0.394764,0.017376,0.192230,0.138916,0.087363,0.064034,0.293577,0.000704,0.014496,0.000384,0.001504,0.000896,0.000384,0.922747
0.394443,0.017472,0.191878,0.143524,0.085539,0.067074,0.299049,0.000608,0.014528,0.000384,0.001504,0.000928,0.000384,0.928155
0.399116,0.017249,0.209862,0.144324,0.095171,0.073378,0.315977,0.001024,0.014049,0.000416,0.001504,0.000960,0.000384,0.968701
0.399724,0.017440,0.192390,0.145380,0.085603,0.063106,0.298441,0.000736,0.014464,0.000352,0.001472,0.000928,0.000288,0.932859
0.398763,0.017632,0.191782,0.161797,0.087234,0.068482,0.320521,0.000640,0.014241,0.000352,0.001504,0.000928,0.000384,0.953532
0.394956,0.017376,0.192070,0.130052,0.083458,0.060098,0.276488,0.000672,0.014241,0.000384,0.001440,0.000896,0.000352,0.905915
0.397036,0.017761,0.193445,0.131108,0.086243,0.068898,0.289705,0.001120,0.014784,0.000416,0.001537,0.001152,0.000320,0.926076
0.399916,0.017729,0.192805,0.139877,0.086370,0.062658,0.291689,0.000704,0.014273,0.000384,0.001472,0.000928,0.000352,0.927324
0.395724,0.017536,0.192358,0.140612,0.087075,0.062850,0.293481,0.000704,0.014208,0.000384,0.001536,0.001024,0.000320,0.924315
0.428173,0.017536,0.192198,0.143940,0.095651,0.063810,0.306249,0.000768,0.014113,0.000384,0.001504,0.000896,0.000352,0.969437
0.399724,0.017473,0.191909,0.143236,0.085250,0.061538,0.293033,0.000736,0.014272,0.000384,0.001536,0.000960,0.000705,0.927836
0.396364,0.017472,0.192102,0.128388,0.087362,0.060417,0.279432,0.001024,0.014529,0.000416,0.001472,0.000928,0.000320,0.911131
0.399435,0.017345,0.192070,0.140996,0.103811,0.080482,0.328649,0.001024,0.014561,0.000352,0.001536,0.001088,0.000640,0.964380
0.395532,0.017281,0.192229,0.133572,0.085859,0.061410,0.283625,0.000672,0.014208,0.000352,0.001472,0.000960,0.000576,0.913467
0.394892,0.017280,0.192070,0.146340,0.086338,0.062466,0.298153,0.000672,0.014400,0.000352,0.001505,0.000928,0.000544,0.927548
0.394380,0.017696,0.192262,0.135588,0.096099,0.060066,0.294697,0.000864,0.014400,0.000384,0.001504,0.000992,0.000352,0.924923
0.412588,0.017728,0.192677,0.132548,0.095171,0.067010,0.297993,0.000864,0.014176,0.000353,0.001600,0.001088,0.000352,0.947388
0.395404,0.017313,0.192357,0.137125,0.085506,0.060610,0.286121,0.000736,0.015584,0.000384,0.001632,0.000928,0.000416,0.918780
0.394092,0.017728,0.191782,0.141988,0.086659,0.061538,0.293161,0.000672,0.014240,0.000384,0.001536,0.000896,0.000352,0.921851
0.394123,0.017313,0.223335,0.128899,0.098755,0.062754,0.293576,0.000704,0.014081,0.000384,0.001472,0.000928,0.000320,0.953340
0.393868,0.017248,0.191942,0.144196,0.083107,0.059554,0.289737,0.000672,0.014208,0.000352,0.001440,0.000928,0.000320,0.917531
0.394635,0.017537,0.191814,0.114147,0.084771,0.062209,0.265671,0.000672,0.013921,0.000384,0.001504,0.000928,0.000320,0.894298
0.394252,0.017537,0.192133,0.133092,0.101731,0.061538,0.299209,0.000672,0.014177,0.000384,0.001504,0.000960,0.000416,0.928444
0.394156,0.017472,0.191878,0.137988,0.084259,0.060705,0.285864,0.000768,0.014689,0.000416,0.001504,0.000992,0.000384,0.915323
0.394283,0.017537,0.191685,0.132740,0.084963,0.061058,0.281577,0.000736,0.014176,0.000384,0.001472,0.000992,0.000576,0.910298
0.394284,0.017376,0.191846,0.133412,0.086274,0.061954,0.284328,0.000704,0.014049,0.000352,0.001472,0.000960,0.000352,0.912571
0.395372,0.017601,0.210694,0.130500,0.089922,0.065922,0.289352,0.000704,0.014593,0.000416,0.001536,0.001152,0.000384,0.939676
0.399212,0.017280,0.191782,0.124100,0.100291,0.061954,0.289257,0.000704,0.014272,0.000352,0.001504,0.000928,0.000576,0.923131
0.395468,0.017633,0.191717,0.141509,0.088162,0.062530,0.295593,0.001120,0.014977,0.000384,0.001664,0.001344,0.000320,0.929884
0.394379,0.017728,0.191974,0.136676,0.085218,0.063170,0.288072,0.000864,0.034721,0.000672,0.001600,0.000960,0.000352,0.938908
0.394892,0.017440,0.192102,0.121604,0.086274,0.064898,0.275784,0.001056,0.014657,0.000384,0.001504,0.000992,0.000256,0.906203
0.400268,0.017473,0.192005,0.140869,0.086146,0.065250,0.295433,0.000672,0.014113,0.000384,0.001536,0.000928,0.000256,0.930492
0.394924,0.017600,0.191238,0.135652,0.086787,0.061474,0.286857,0.000704,0.014080,0.000384,0.001504,0.000896,0.000288,0.915515
0.415564,0.017601,0.192325,0.135044,0.101251,0.070850,0.310153,0.000992,0.014561,0.000384,0.001472,0.000928,0.000256,0.961404
0.400044,0.017345,0.191781,0.137444,0.085762,0.061762,0.288041,0.000672,0.014016,0.000352,0.001472,0.000896,0.000288,0.922300
0.399212,0.017632,0.192006,0.122564,0.096547,0.068002,0.290313,0.000672,0.014240,0.000416,0.001504,0.000928,0.000608,0.925115
0.400940,0.017632,0.193510,0.150629,0.102467,0.064834,0.322922,0.000768,0.014560,0.000448,0.001504,0.001568,0.000672,0.962428
0.396267,0.018016,0.192582,0.154276,0.088483,0.062306,0.308585,0.000960,0.015393,0.000352,0.001760,0.002112,0.000576,0.947420
0.399628,0.017505,0.192165,0.132548,0.086275,0.061506,0.283561,0.000640,0.014720,0.000384,0.001536,0.000864,0.000352,0.918363
0.394572,0.017344,0.191750,0.134980,0.087586,0.067074,0.292777,0.000800,0.014496,0.000384,0.001440,0.000992,0.000352,0.922235
0.399692,0.017376,0.191590,0.123844,0.085602,0.062018,0.274632,0.000704,0.014113,0.000416,0.001440,0.000896,0.000320,0.907067
0.394380,0.017185,0.191589,0.134148,0.085987,0.061890,0.285417,0.000672,0.015104,0.000352,0.001472,0.000960,0.000352,0.914779
0.395052,0.017505,0.191397,0.116356,0.085666,0.063074,0.268264,0.000768,0.014369,0.000384,0.001472,0.000960,0.000352,0.897403
0.394188,0.017248,0.210375,0.138980,0.092386,0.065506,0.299944,0.000736,0.014721,0.000416,0.001472,0.000960,0.000352,0.948092
0.395052,0.017377,0.191621,0.124580,0.085731,0.068898,0.282153,0.000768,0.014112,0.000352,0.001408,0.000896,0.000384,0.911579
0.398988,0.017473,0.191526,0.125411,0.085155,0.061922,0.275560,0.000736,0.014592,0.000384,0.001440,0.000928,0.000384,0.909147
0.397996,0.017568,0.191974,0.137956,0.090275,0.070978,0.302473,0.000736,0.014976,0.000384,0.001568,0.001344,0.000576,0.937404
0.396108,0.017601,0.192101,0.133316,0.087235,0.061474,0.285673,0.000768,0.015104,0.000384,0.001536,0.001152,0.000640,0.919100
0.395435,0.017569,0.191590,0.140580,0.092067,0.064162,0.300201,0.000704,0.014688,0.000352,0.001472,0.001216,0.000608,0.932059
0.394476,0.017696,0.191718,0.131972,0.089699,0.063138,0.288233,0.000704,0.014368,0.000384,0.001536,0.000960,0.000384,0.917627
0.410700,0.017441,0.191973,0.137668,0.095299,0.063714,0.299945,0.000704,0.014113,0.000384,0.001440,0.001024,0.000448,0.945532
0.394572,0.017537,0.191877,0.136484,0.086499,0.062978,0.288969,0.000704,0.014144,0.000384,0.001472,0.001056,0.000320,0.918491
0.395532,0.017473,0.191653,0.135012,0.086435,0.068674,0.293129,0.001024,0.014400,0.000385,0.001504,0.000928,0.000608,0.924284
0.400044,0.017569,0.191557,0.145349,0.104931,0.061954,0.315466,0.001152,0.014304,0.000352,0.001472,0.001024,0.000384,0.950812
0.400364,0.017537,0.191813,0.135556,0.087459,0.063298,0.289673,0.000704,0.015264,0.000352,0.001536,0.001025,0.000608,0.926460
0.399724,0.017537,0.192165,0.131428,0.083075,0.061121,0.279400,0.000768,0.015840,0.000384,0.001504,0.001056,0.000608,0.916347
0.400140,0.017664,0.192198,0.136484,0.089603,0.064642,0.294345,0.000736,0.014752,0.000384,0.001504,0.001184,0.000352,0.930971
0.396076,0.017760,0.192166,0.146852,0.087555,0.065154,0.303401,0.000768,0.014432,0.000576,0.001600,0.001185,0.000384,0.936764
0.394956,0.017281,0.192229,0.134852,0.086563,0.062434,0.286857,0.000800,0.014464,0.000352,0.001472,0.001184,0.000352,0.917467
0.395052,0.017632,0.191558,0.123844,0.087426,0.060450,0.274696,0.000704,0.014273,0.000416,0.001504,0.000896,0.000320,0.904219
0.395404,0.017537,0.212742,0.138948,0.095043,0.063458,0.300425,0.000672,0.013984,0.000416,0.001504,0.000960,0.000320,0.951165
0.395788,0.017505,0.191749,0.136164,0.085891,0.065186,0.290185,0.001056,0.014592,0.000416,0.001472,0.000960,0.000352,0.921660
0.399180,0.017345,0.191397,0.134116,0.084355,0.066594,0.288297,0.000672,0.014912,0.000384,0.001568,0.000992,0.000352,0.923387
0.395564,0.017504,0.191846,0.122244,0.084258,0.065474,0.274984,0.000704,0.014913,0.000352,0.001472,0.000896,0.000544,0.923995
0.394987,0.017569,0.192230,0.138500,0.086114,0.062690,0.290216,0.000704,0.015009,0.000384,0.001472,0.000928,0.000320,0.920795
0.394668,0.017345,0.191941,0.138244,0.083362,0.061634,0.286185,0.000768,0.014336,0.000352,0.001504,0.000960,0.000576,0.915867
0.395084,0.017665,0.192741,0.141061,0.090402,0.064642,0.299721,0.000736,0.014593,0.000352,0.001568,0.001120,0.000576,0.932764
0.411436,0.017697,0.191878,0.134884,0.090242,0.065186,0.293768,0.000704,0.014401,0.000352,0.001536,0.001088,0.000576,0.941084
0.399147,0.017569,0.192038,0.137316,0.085794,0.063394,0.289704,0.000768,0.014657,0.000384,0.001536,0.001056,0.000640,0.925051
0.395276,0.017665,0.191941,0.123076,0.087811,0.063233,0.276840,0.000672,0.014785,0.000384,0.001472,0.001024,0.000416,0.907867
0.394699,0.017408,0.191686,0.149924,0.099811,0.064194,0.317225,0.000736,0.014177,0.000320,0.001536,0.000992,0.000384,0.946524
0.399404,0.017665,0.191909,0.136388,0.087939,0.062434,0.289865,0.000640,0.014848,0.000416,0.001536,0.001056,0.000352,0.925052
0.394348,0.017600,0.191814,0.133028,0.085571,0.061890,0.283753,0.000704,0.014176,0.000352,0.001472,0.001024,0.000352,0.912603
0.394539,0.017697,0.192166,0.140452,0.085218,0.064706,0.293416,0.000640,0.014305,0.000384,0.001504,0.000896,0.000384,0.923067
0.399788,0.017760,0.191846,0.136260,0.095267,0.064642,0.299369,0.000672,0.015104,0.000352,0.001505,0.000896,0.000352,0.934716
0.400300,0.017281,0.192005,0.128676,0.089635,0.067522,0.289673,0.000736,0.014176,0.000384,0.001504,0.000864,0.000320,0.925083
0.400780,0.017760,0.194086,0.143844,0.094851,0.067330,0.309481,0.001184,0.015041,0.000384,0.001600,0.001248,0.000352,0.951068
0.412492,0.018177,0.192997,0.139333,0.105987,0.065346,0.313898,0.000768,0.014112,0.000576,0.001568,0.001056,0.000384,0.963356
